Far field
"Theta"[deg]	"Total (Phi = 0 deg) [V]"	"Total (Phi = 90 deg) [V]"	"Theta (Phi = 45 deg) [V]"	"Phi (Phi = 45 deg) [V]"	
-2.40000000E+01	6.34015893E-01	1.15352362E+00	8.11900169E-01	4.45634756E-01	
-2.30000000E+01	6.97001130E-01	1.21501279E+00	8.55237164E-01	4.90286106E-01	
-2.20000000E+01	7.81495551E-01	1.26073371E+00	8.87493751E-01	5.50311327E-01	
-2.10000000E+01	8.91001644E-01	1.29218048E+00	9.09730873E-01	6.28145107E-01	
-2.00000000E+01	1.02732973E+00	1.31350334E+00	9.24887891E-01	7.25010978E-01	
-1.90000000E+01	1.19072495E+00	1.33213732E+00	9.38226915E-01	8.41030180E-01	
-1.80000000E+01	1.38021738E+00	1.35904705E+00	9.57502987E-01	9.75478931E-01	
-1.70000000E+01	1.59395334E+00	1.40793012E+00	9.92393728E-01	1.12702332E+00	
-1.60000000E+01	1.82941648E+00	1.49278455E+00	1.05277113E+00	1.29387221E+00	
-1.50000000E+01	2.08355142E+00	1.62428810E+00	1.14614235E+00	1.47386078E+00	
-1.40000000E+01	2.35283250E+00	1.80691418E+00	1.27562617E+00	1.66449628E+00	
-1.30000000E+01	2.63331293E+00	2.03852108E+00	1.43968109E+00	1.86299088E+00	
-1.20000000E+01	2.92067577E+00	2.31206430E+00	1.63332168E+00	2.06629665E+00	
-1.10000000E+01	3.21029692E+00	2.61778944E+00	1.84966212E+00	2.27114931E+00	
-1.00000000E+01	3.49732347E+00	2.94482745E+00	2.08103453E+00	2.47412332E+00	
-9.00000000E+00	3.77676738E+00	3.28207363E+00	2.31960392E+00	2.67169769E+00	
-8.00000000E+00	4.04361177E+00	3.61862276E+00	2.55767292E+00	2.86033109E+00	
-7.00000000E+00	4.29292658E+00	3.94401024E+00	2.78785144E+00	3.03654333E+00	
-6.00000000E+00	4.51998910E+00	4.24839469E+00	3.00318612E+00	3.19700059E+00	
-5.00000000E+00	4.72040504E+00	4.52273474E+00	3.19728597E+00	3.33860088E+00	
-4.00000000E+00	4.89022524E+00	4.75897118E+00	3.36445197E+00	3.45855654E+00	
-3.00000000E+00	5.02605364E+00	4.95020833E+00	3.49980605E+00	3.55447055E+00	
-2.00000000E+00	5.12514218E+00	5.09088325E+00	3.59941151E+00	3.62440359E+00	
-1.00000000E+00	5.18546891E+00	5.17691103E+00	3.66037630E+00	3.66692926E+00	
0.00000000E+00	5.20579608E+00	5.20579608E+00	3.68093226E+00	3.68117516E+00	
1.00000000E+00	5.18570601E+00	5.17670195E+00	3.66048479E+00	3.66684817E+00	
2.00000000E+00	5.12561328E+00	5.09047498E+00	3.59962982E+00	3.62424310E+00	
3.00000000E+00	5.02675261E+00	4.94962042E+00	3.50013695E+00	3.55423399E+00	
4.00000000E+00	4.89114312E+00	4.75823238E+00	3.36489977E+00	3.45824885E+00	
5.00000000E+00	4.72153025E+00	4.52188237E+00	3.19785677E+00	3.33822847E+00	
6.00000000E+00	4.52130777E+00	4.24747384E+00	3.00388805E+00	3.19657123E+00	
7.00000000E+00	4.29442291E+00	3.94307284E+00	2.78869492E+00	3.03606597E+00	
8.00000000E+00	4.04526842E+00	3.61772653E+00	2.55867088E+00	2.85981568E+00	
9.00000000E+00	3.77856589E+00	3.28128087E+00	2.32077176E+00	2.67115490E+00	
1.00000000E+01	3.49924468E+00	2.94420337E+00	2.08238957E+00	2.47356428E+00	
1.10000000E+01	3.21232133E+00	2.61739955E+00	1.85122198E+00	2.27058530E+00	
1.20000000E+01	2.92278390E+00	2.31196973E+00	1.63510063E+00	2.06573876E+00	
1.30000000E+01	2.63548553E+00	2.03877028E+00	1.44168329E+00	1.86244967E+00	
1.40000000E+01	2.35505064E+00	1.80752964E+00	1.27783561E+00	1.66398138E+00	
1.50000000E+01	2.08579639E+00	1.62525002E+00	1.14851256E+00	1.47338053E+00	
1.60000000E+01	1.83166938E+00	1.49402062E+00	1.05522308E+00	1.29343319E+00	
1.70000000E+01	1.59619434E+00	1.40932430E+00	9.94830069E-01	1.12662997E+00	
1.80000000E+01	1.38242453E+00	1.36046882E+00	9.59833921E-01	9.75133045E-01	
1.90000000E+01	1.19287259E+00	1.33347377E+00	9.40390594E-01	8.40730465E-01	
2.00000000E+01	1.02938697E+00	1.31467632E+00	9.26854741E-01	7.24752631E-01	
2.10000000E+01	8.92931936E-01	1.29314723E+00	9.11496372E-01	6.27919669E-01	
2.20000000E+01	7.83259009E-01	1.26147941E+00	8.89068725E-01	5.50107148E-01	
2.30000000E+01	6.98560855E-01	1.21554219E+00	8.56640465E-01	4.90089766E-01	
2.40000000E+01	6.35346849E-01	1.15385446E+00	8.13154478E-01	4.45433400E-01	
2.50000000E+01	5.88797993E-01	1.07693594E+00	7.58969248E-01	4.12729950E-01	
2.60000000E+01	5.53588677E-01	9.86767057E-01	6.95476380E-01	3.88179745E-01	
2.70000000E+01	5.24810846E-01	8.86385342E-01	6.24814614E-01	3.68261955E-01	
2.80000000E+01	4.98599395E-01	7.79620609E-01	5.49681901E-01	3.50194858E-01	
2.90000000E+01	4.72331237E-01	6.70980590E-01	4.73253402E-01	3.32085938E-01	
3.00000000E+01	4.44516658E-01	5.65722002E-01	3.99229105E-01	3.12856205E-01	
3.10000000E+01	4.14557608E-01	4.70142652E-01	3.32033920E-01	2.92066702E-01	
3.20000000E+01	3.82491464E-01	3.91942383E-01	2.77059944E-01	2.69734238E-01	
3.30000000E+01	3.48772891E-01	3.39645344E-01	2.40248162E-01	2.46174768E-01	
3.40000000E+01	3.14106810E-01	3.18848561E-01	2.25478230E-01	2.21883733E-01	
3.50000000E+01	2.79328828E-01	3.26521375E-01	2.30635655E-01	1.97450584E-01	
3.60000000E+01	2.45324846E-01	3.51834960E-01	2.48181192E-01	1.73501417E-01	
3.70000000E+01	2.12981339E-01	3.83366373E-01	2.70130951E-01	1.50663665E-01	
3.80000000E+01	1.83157654E-01	4.13201167E-01	2.90928357E-01	1.29546845E-01	
3.90000000E+01	1.56668379E-01	4.36825220E-01	3.07392771E-01	1.10731362E-01	
4.00000000E+01	1.34254132E-01	4.51982826E-01	3.17930264E-01	9.47506886E-02	
4.10000000E+01	1.16503896E-01	4.57802170E-01	3.21922083E-01	8.20407908E-02	
4.20000000E+01	1.03693681E-01	4.54268993E-01	3.19354515E-01	7.28286133E-02	
4.30000000E+01	9.55798351E-02	4.41917012E-01	3.10600515E-01	6.69793395E-02	
4.40000000E+01	9.13209668E-02	4.21637617E-01	2.96285269E-01	6.39240102E-02	
4.50000000E+01	8.96835748E-02	3.94556566E-01	2.77199056E-01	6.27926285E-02	
4.60000000E+01	8.94139148E-02	3.61952685E-01	2.54239773E-01	6.26825281E-02	
4.70000000E+01	8.95126116E-02	3.25208879E-01	2.28378275E-01	6.28660280E-02	
4.80000000E+01	8.93144592E-02	2.85796326E-01	2.00647070E-01	6.28551957E-02	
4.90000000E+01	8.84452494E-02	2.45304401E-01	1.72161193E-01	6.23731277E-02	
5.00000000E+01	8.67432483E-02	2.05547665E-01	1.44193333E-01	6.12974300E-02	
5.10000000E+01	8.41879902E-02	1.68809364E-01	1.18345419E-01	5.96084976E-02	
5.20000000E+01	8.08469384E-02	1.38267336E-01	9.68504678E-02	5.73507793E-02	
5.30000000E+01	7.68383411E-02	1.18258456E-01	8.27648936E-02	5.46058647E-02	
5.40000000E+01	7.23061022E-02	1.12734254E-01	7.88828863E-02	5.14743193E-02	
5.50000000E+01	6.74030224E-02	1.21314483E-01	8.49361664E-02	4.80635842E-02	
5.60000000E+01	6.22797914E-02	1.39029806E-01	9.74102009E-02	4.44800254E-02	
5.70000000E+01	5.70779501E-02	1.60700603E-01	1.12652250E-01	4.08238400E-02	
5.80000000E+01	5.19256073E-02	1.83026398E-01	1.28342517E-01	3.71859433E-02	
5.90000000E+01	4.69350512E-02	2.04218201E-01	1.43226973E-01	3.36462298E-02	
6.00000000E+01	4.22016015E-02	2.23350745E-01	1.56658466E-01	3.02727497E-02	
6.10000000E+01	3.78031653E-02	2.39971239E-01	1.68321113E-01	2.71214390E-02	
6.20000000E+01	3.38000255E-02	2.53896464E-01	1.78087811E-01	2.42360826E-02	
6.30000000E+01	3.02344579E-02	2.65106116E-01	1.85945458E-01	2.16482349E-02	
6.40000000E+01	2.71299255E-02	2.73682934E-01	1.91953026E-01	1.93768924E-02	
6.50000000E+01	2.44899225E-02	2.79776343E-01	1.96216100E-01	1.74278794E-02	
6.60000000E+01	2.22970603E-02	2.83578632E-01	1.98870203E-01	1.57932081E-02	
6.70000000E+01	2.05135102E-02	2.85308371E-01	2.00069192E-01	1.44510352E-02	
6.80000000E+01	1.90839615E-02	2.85198346E-01	1.99976807E-01	1.33670164E-02	
6.90000000E+01	1.79414433E-02	2.83486562E-01	1.98760375E-01	1.24975449E-02	
7.00000000E+01	1.70149697E-02	2.80409462E-01	1.96586063E-01	1.17945321E-02	
7.10000000E+01	1.62370072E-02	2.76196850E-01	1.93615326E-01	1.12105814E-02	
7.20000000E+01	1.55489557E-02	2.71068158E-01	1.90002294E-01	1.07032275E-02	
7.30000000E+01	1.49039020E-02	2.65229803E-01	1.85891928E-01	1.02374555E-02	
7.40000000E+01	1.42669725E-02	2.58873439E-01	1.81418796E-01	9.78647682E-03	
7.50000000E+01	1.36141283E-02	2.52174935E-01	1.76706363E-01	9.33123649E-03	
7.60000000E+01	1.29302415E-02	2.45293929E-01	1.71866685E-01	8.85924019E-03	
7.70000000E+01	1.22070398E-02	2.38373865E-01	1.67000436E-01	8.36316433E-03	
7.80000000E+01	1.14412401E-02	2.31542378E-01	1.62197186E-01	7.83952938E-03	
7.90000000E+01	1.06330007E-02	2.24911962E-01	1.57535867E-01	7.28756583E-03	
8.00000000E+01	9.78470897E-03	2.18580820E-01	1.53085381E-01	6.70830862E-03	
8.10000000E+01	8.90007404E-03	2.12633851E-01	1.48905287E-01	6.10390828E-03	
8.20000000E+01	7.98347212E-03	2.07143702E-01	1.45046545E-01	5.47712735E-03	
8.30000000E+01	7.03949520E-03	2.02171838E-01	1.41552270E-01	4.83098699E-03	
8.40000000E+01	6.07265784E-03	1.97769603E-01	1.38458474E-01	4.16853098E-03	
8.50000000E+01	5.08722722E-03	1.93979221E-01	1.35794770E-01	3.49267986E-03	
8.60000000E+01	4.08715384E-03	1.90834717E-01	1.33585022E-01	2.80615270E-03	
8.70000000E+01	3.07610570E-03	1.88362745E-01	1.31847922E-01	2.11143929E-03	
8.80000000E+01	2.05771832E-03	1.86583277E-01	1.30597477E-01	1.41080895E-03	
8.90000000E+01	1.03720640E-03	1.85510170E-01	1.29843405E-01	7.06345497E-04	
9.00000000E+01	1.39546416E-04	1.85151572E-01	1.29591419E-01	1.04754401E-18	
